epoch,train_loss,val_loss,val_mae,horizon_1h_mae
1,0.5946294745426577,0.6450742926040264,1.1879922403211685,1.1879922403211685
2,0.45442593355262545,0.5751882201521903,1.09696080131363,1.09696080131363
3,0.42884558533833367,0.5299550199298962,1.082474735052563,1.082474735052563
4,0.4181463097012743,0.5128719170901708,1.0464230484262371,1.0464230484262371
5,0.4068664795719716,0.5370240828503775,1.08068987481165,1.08068987481165
6,0.40603119911654906,0.5191915561627793,1.0512805532699347,1.0512805532699347
7,0.4017835450405852,0.5243851333271828,1.0714708830410153,1.0714708830410153
8,0.3978341589861026,0.5049745492102813,1.051480805196362,1.051480805196362
9,0.39833652220570825,0.5193008564825955,1.0815286962202018,1.0815286962202018
10,0.3944756775430374,0.5097770473550557,1.0541159027080897,1.0541159027080897
11,0.3934751908816171,0.5139336624914964,1.056454837846498,1.056454837846498
12,0.39467691755391393,0.5011173080002664,1.0453245838617602,1.0453245838617602
13,0.3928839243762321,0.5132754838172251,1.0626886109537943,1.0626886109537943
14,0.38742313422841207,0.4991374993154903,1.0139540073755469,1.0139540073755469
