epoch,train_loss,val_loss,val_mae,horizon_1h_mae
1,1.0072485006808187,0.5139255454584329,1.0174468594478137,1.0174468594478137
2,0.859651415054813,0.49386069826084206,0.977739506308874,0.977739506308874
3,0.8324245252829183,0.4836811989222323,0.9574025280197408,0.9574025280197408
4,0.8187918663931207,0.4801266738914934,0.9504463184255919,0.9504463184255919
5,0.8120204103236707,0.48193678913165383,0.9538412867834238,0.9538412867834238
6,0.802639714727774,0.47529118506078644,0.9407480338151128,0.9407480338151128
7,0.7997976479689038,0.4755209036388787,0.9410303693815681,0.9410303693815681
8,0.7950438413694111,0.47749844719144025,0.945038613811479,0.945038613811479
9,0.7931899402084776,0.47240015601276786,0.9348184823727026,0.9348184823727026
10,0.7892588636504172,0.47072893495859736,0.9316321145515671,0.9316321145515671
11,0.7885635303854842,0.47056256409284625,0.9314303669214168,0.9314303669214168
12,0.785427261011124,0.47127332138036615,0.9328779778727602,0.9328779778727602
13,0.7813059193376231,0.4734807420532084,0.9369453947126785,0.9369453947126785
14,0.7810430501054763,0.47331451300122196,0.9366169821172751,0.9366169821172751
15,0.7787494471315235,0.46848230394237805,0.9271683838051646,0.9271683838051646
16,0.77786328067931,0.46913719745643506,0.9287037403301274,0.9287037403301274
17,0.7748663266137316,0.46677964986801107,0.924014780341851,0.924014780341851
18,0.7743093567555932,0.4696939634525671,0.929576122650581,0.929576122650581
19,0.7752980469831604,0.47022354560101776,0.9305230773570903,0.9305230773570903
20,0.7742451843346951,0.469249198435625,0.9287755488439525,0.9287755488439525
21,0.7696701604120835,0.4709016265249034,0.9322968270816667,0.9322968270816667
22,0.7693837054538292,0.46628848726139627,0.9226627341108941,0.9226627341108941
23,0.7702014547462579,0.4699928921924113,0.9303946000861264,0.9303946000861264
24,0.7682206827072824,0.47074715382188276,0.9322479742261982,0.9322479742261982
25,0.7671354996894215,0.47022623853856543,0.9306920999345171,0.9306920999345171
26,0.766630694197126,0.4751387976180747,0.9402712132362206,0.9402712132362206
27,0.7638817114047776,0.474230495901978,0.9385538541558963,0.9385538541558963
28,0.7627343794827849,0.4702348635687393,0.9307215872550512,0.9307215872550512
29,0.7612459971546663,0.4690178224837137,0.9285107294838052,0.9285107294838052
30,0.7603095363857658,0.47080728114965487,0.9323420059062247,0.9323420059062247
31,0.7597250374492549,0.4727515774492169,0.9358890654728969,0.9358890654728969
32,0.7592423663064422,0.47712069725317013,0.9440096722134822,0.9440096722134822
